Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,54,28.5,4.42,145,5466,4851,641,1174,241,35,141,611,98,23,479,1065,.242,.314,.393,.707,96,1908,89,51,35,47,13,987
Athletics,59,26.7,4.39,145,5513,4925,637,1212,223,14,175,610,82,28,477,1245,.246,.319,.404,.723,99,1988,117,65,19,25,18,1002
Atlanta Braves,60,29.5,4.62,144,5380,4862,665,1202,231,10,182,638,76,22,415,1177,.247,.311,.411,.722,98,1999,72,51,9,40,13,937
Baltimore Orioles,58,26.7,4.46,145,5474,4827,647,1130,212,19,174,624,72,32,538,1343,.234,.316,.394,.710,101,1902,97,56,17,34,18,975
Boston Red Sox,55,28.3,4.46,145,5505,4870,647,1211,263,24,151,618,99,37,469,1174,.249,.323,.406,.728,105,1975,88,86,31,46,12,1014
Chicago Cubs,61,28.9,5.32,145,5725,4991,771,1255,244,22,203,727,104,19,611,1222,.251,.339,.431,.770,111,2152,94,73,9,40,20,1107
Chicago White Sox,59,25.8,4.76,143,5458,4803,680,1136,227,14,188,649,79,33,517,1303,.237,.319,.407,.726,102,1955,64,80,26,30,20,979
Cincinnati Reds,53,27.3,4.22,144,5413,4796,608,1105,202,12,194,580,100,31,516,1375,.230,.309,.399,.708,95,1913,76,47,15,36,11,986
Cleveland Guardians,48,27.0,4.03,145,5455,4827,584,1139,221,13,135,561,132,28,511,1161,.236,.313,.371,.684,94,1791,84,50,25,40,13,1029
Colorado Rockies,54,26.7,4.75,143,5459,4864,679,1235,257,30,158,651,100,37,456,1246,.254,.324,.417,.740,93,2026,84,71,19,48,9,973
Detroit Tigers,53,26.3,4.39,144,5468,4861,632,1158,223,29,162,602,45,20,496,1258,.238,.314,.396,.710,98,1925,82,59,8,39,11,1007
Houston Astros,57,29.1,4.49,144,5434,4835,647,1160,211,18,187,616,44,19,474,1180,.240,.315,.407,.722,103,1968,97,70,17,36,38,976
Kansas City Royals,53,28.1,4.28,145,5445,4865,621,1202,262,19,151,592,115,30,459,1128,.247,.316,.402,.718,103,1955,91,52,24,43,16,988
Los Angeles Angels,60,27.8,4.02,144,5394,4810,579,1121,215,13,137,555,79,22,441,1366,.233,.307,.369,.676,93,1773,100,87,26,27,15,972
Los Angeles Dodgers,51,30.9,4.94,144,5512,4845,711,1240,235,15,175,669,61,18,547,1137,.256,.336,.419,.755,108,2030,114,58,14,45,30,1023
Miami Marlins,48,25.7,4.38,145,5461,4812,635,1189,221,31,149,606,149,43,501,1191,.247,.326,.399,.725,105,1919,89,82,21,44,11,1015
Milwaukee Brewers,55,27.4,5.03,145,5638,4918,730,1259,253,25,133,689,141,45,602,1216,.256,.339,.399,.738,105,1961,88,38,33,40,25,1093
Minnesota Twins,54,28.4,4.65,144,5457,4858,670,1193,236,20,169,640,83,33,466,1144,.246,.320,.407,.726,103,1976,92,82,8,41,8,979
New York Mets,64,27.7,4.20,144,5401,4845,605,1148,185,18,176,575,78,31,459,1218,.237,.307,.392,.698,95,1897,93,44,18,31,12,962
New York Yankees,47,29.0,4.52,143,5331,4728,646,1104,204,17,193,616,137,47,516,1319,.234,.311,.406,.718,99,1921,83,36,9,37,18,896
Philadelphia Phillies,47,30.1,4.46,144,5400,4822,642,1165,208,22,170,622,97,18,459,1193,.242,.312,.400,.711,90,1927,97,55,11,50,16,958
Pittsburgh Pirates,53,28.1,4.82,144,5582,4945,694,1245,215,14,165,661,118,23,513,1362,.252,.330,.401,.731,98,1983,111,78,12,31,11,1053
San Diego Padres,48,29.5,4.20,144,5353,4739,605,1120,206,14,159,583,142,40,497,1164,.236,.314,.386,.700,96,1831,112,54,22,38,19,945
Seattle Mariners,52,28.2,3.95,144,5386,4768,569,1093,174,14,163,547,98,36,488,1259,.229,.310,.374,.684,98,1784,92,86,11,32,11,997
San Francisco Giants,64,27.3,4.19,145,5442,4916,608,1218,240,25,164,587,67,21,402,1162,.248,.309,.407,.716,102,2000,84,50,33,41,19,982
St. Louis Cardinals,50,25.4,4.56,145,5523,4904,661,1195,208,14,155,642,93,25,461,1148,.244,.317,.387,.703,101,1896,103,87,19,50,15,1002
Tampa Bay Rays,50,27.8,4.52,143,5406,4812,647,1253,198,21,149,615,141,48,456,996,.260,.329,.403,.732,104,1940,103,52,43,40,25,993
Texas Rangers,55,29.4,4.13,144,5382,4784,595,1163,211,22,165,575,67,20,470,1215,.243,.317,.400,.717,108,1913,100,65,30,32,11,1000
Toronto Blue Jays,60,28.9,4.03,145,5421,4894,585,1212,232,8,138,557,72,15,403,1038,.248,.309,.383,.692,91,1874,106,53,23,45,15,990
Washington Nationals,57,24.9,5.14,146,5609,4980,750,1236,253,29,195,711,156,36,509,1221,.248,.324,.428,.752,106,2132,82,66,18,33,16,978
