date,interest
2004-01,2
2004-02,1
2004-03,2
2004-04,2
2004-05,1
2004-06,1
2004-07,2
2004-08,4
2004-09,5
2004-10,5
2004-11,4
2004-12,4
2005-01,2
2005-02,1
2005-03,2
2005-04,2
2005-05,1
2005-06,2
2005-07,2
2005-08,5
2005-09,5
2005-10,4
2005-11,4
2005-12,3
2006-01,2
2006-02,1
2006-03,1
2006-04,1
2006-05,2
2006-06,2
2006-07,2
2006-08,5
2006-09,6
2006-10,6
2006-11,5
2006-12,5
2007-01,5
2007-02,1
2007-03,1
2007-04,2
2007-05,1
2007-06,1
2007-07,2
2007-08,5
2007-09,6
2007-10,4
2007-11,4
2007-12,6
2008-01,3
2008-02,2
2008-03,1
2008-04,2
2008-05,2
2008-06,1
2008-07,2
2008-08,4
2008-09,8
2008-10,4
2008-11,4
2008-12,8
2009-01,14
2009-02,2
2009-03,2
2009-04,2
2009-05,2
2009-06,2
2009-07,3
2009-08,6
2009-09,8
2009-10,7
2009-11,9
2009-12,8
2010-01,9
2010-02,2
2010-03,2
2010-04,3
2010-05,2
2010-06,2
2010-07,3
2010-08,7
2010-09,10
2010-10,9
2010-11,8
2010-12,10
2011-01,15
2011-02,2
2011-03,1
2011-04,2
2011-05,2
2011-06,1
2011-07,4
2011-08,11
2011-09,13
2011-10,13
2011-11,18
2011-12,11
2012-01,27
2012-02,3
2012-03,3
2012-04,4
2012-05,3
2012-06,2
2012-07,3
2012-08,8
2012-09,22
2012-10,11
2012-11,11
2012-12,14
2013-01,47
2013-02,36
2013-03,7
2013-04,5
2013-05,4
2013-06,4
2013-07,4
2013-08,10
2013-09,22
2013-10,11
2013-11,14
2013-12,17
2014-01,4
2014-02,3
2014-03,3
2014-04,3
2014-05,4
2014-06,2
2014-07,3
2014-08,9
2014-09,21
2014-10,12
2014-11,16
2014-12,13
2015-01,24
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,2
2015-07,3
2015-08,9
2015-09,15
2015-10,18
2015-11,12
2015-12,13
2016-01,4
2016-02,3
2016-03,4
2016-04,4
2016-05,3
2016-06,2
2016-07,3
2016-08,9
2016-09,17
2016-10,15
2016-11,15
2016-12,21
2017-01,4
2017-02,2
2017-03,4
2017-04,4
2017-05,3
2017-06,3
2017-07,4
2017-08,9
2017-09,18
2017-10,15
2017-11,9
2017-12,16
2018-01,6
2018-02,3
2018-03,4
2018-04,6
2018-05,3
2018-06,3
2018-07,3
2018-08,11
2018-09,18
2018-10,19
2018-11,13
2018-12,27
2019-01,15
2019-02,3
2019-03,5
2019-04,5
2019-05,3
2019-06,3
2019-07,3
2019-08,11
2019-09,24
2019-10,18
2019-11,39
2019-12,41
2020-01,35
2020-02,3
2020-03,4
2020-04,6
2020-05,4
2020-06,2
2020-07,2
2020-08,4
2020-09,22
2020-10,15
2020-11,26
2020-12,36
2021-01,27
2021-02,3
2021-03,4
2021-04,4
2021-05,5
2021-06,3
2021-07,3
2021-08,10
2021-09,33
2021-10,30
2021-11,26
2021-12,23
2022-01,15
2022-02,3
2022-03,4
2022-04,5
2022-05,5
2022-06,4
2022-07,4
2022-08,11
2022-09,19
2022-10,29
2022-11,19
2022-12,19
2023-01,25
2023-02,5
2023-03,6
2023-04,7
2023-05,5
2023-06,3
2023-07,4
2023-08,12
2023-09,20
2023-10,25
2023-11,31
2023-12,43
2024-01,100
2024-02,6
2024-03,5
2024-04,4
2024-05,4
2024-06,3
2024-07,4
2024-08,12
2024-09,59
2024-10,39
2024-11,44
2024-12,41
2025-01,75
2025-02,4
2025-03,4
2025-04,4
2025-05,4
2025-06,3
2025-07,4
2025-08,12
2025-09,59
2025-10,36
2025-11,39
2025-12,50
2026-01,31
2026-02,4
2026-03,6
2026-04,6
2026-05,4
2026-06,3
2026-07,4
2026-08,12
2026-09,22
